date,name,crimes
202001,Barking and Dagenham,1676
202002,Barking and Dagenham,1582
202003,Barking and Dagenham,1800
202004,Barking and Dagenham,1272
202005,Barking and Dagenham,1451
202006,Barking and Dagenham,1625
202007,Barking and Dagenham,1676
202008,Barking and Dagenham,1634
202009,Barking and Dagenham,1604
202010,Barking and Dagenham,1701
202011,Barking and Dagenham,1712
202012,Barking and Dagenham,1482
202001,Barnet,2651
202002,Barnet,2592
202003,Barnet,2299
202004,Barnet,1660
202005,Barnet,1993
202006,Barnet,2102
202007,Barnet,2382
202008,Barnet,2381
202009,Barnet,2308
202010,Barnet,2461
202011,Barnet,2401
202012,Barnet,2156
202001,Bexley,1624
202002,Bexley,1462
202003,Bexley,1284
202004,Bexley,912
202005,Bexley,1227
202006,Bexley,1188
202007,Bexley,1338
202008,Bexley,1433
202009,Bexley,1304
202010,Bexley,1303
202011,Bexley,1335
202012,Bexley,1180
202001,Brent,2518
202002,Brent,2389
202003,Brent,2275
202004,Brent,2032
202005,Brent,2255
202006,Brent,2413
202007,Brent,2602
202008,Brent,2598
202009,Brent,2478
202010,Brent,2606
202011,Brent,2310
202012,Brent,2259
202001,Bromley,2157
202002,Bromley,2074
202003,Bromley,1768
202004,Bromley,1444
202005,Bromley,1644
202006,Bromley,1693
202007,Bromley,1925
202008,Bromley,1787
202009,Bromley,1909
202010,Bromley,2073
202011,Bromley,1863
202012,Bromley,1670
202001,Camden,3241
202002,Camden,3454
202003,Camden,2720
202004,Camden,1640
202005,Camden,1863
202006,Camden,2085
202007,Camden,2442
202008,Camden,2594
202009,Camden,2603
202010,Camden,2718
202011,Camden,2271
202012,Camden,1973
202001,City of London,3241
202002,City of London,3454
202003,City of London,2720
202004,City of London,1640
202005,City of London,1863
202006,City of London,2085
202007,City of London,2442
202008,City of London,2594
202009,City of London,2603
202010,City of London,2718
202011,City of London,2271
202012,City of London,1973
202001,Croydon,2374
202002,Croydon,2307
202003,Croydon,2074
202004,Croydon,1661
202005,Croydon,2054
202006,Croydon,2194
202007,Croydon,2338
202008,Croydon,2233
202009,Croydon,2226
202010,Croydon,2224
202011,Croydon,2176
202012,Croydon,1882
202001,Ealing,2279
202002,Ealing,2115
202003,Ealing,2154
202004,Ealing,1596
202005,Ealing,1974
202006,Ealing,2151
202007,Ealing,2140
202008,Ealing,2265
202009,Ealing,2172
202010,Ealing,2154
202011,Ealing,2166
202012,Ealing,1766
202001,Enfield,5669
202002,Enfield,5393
202003,Enfield,5360
202004,Enfield,4111
202005,Enfield,4718
202006,Enfield,5076
202007,Enfield,5612
202008,Enfield,5307
202009,Enfield,5441
202010,Enfield,5578
202011,Enfield,5164
202012,Enfield,4696
202001,Greenwich,2374
202002,Greenwich,2307
202003,Greenwich,2074
202004,Greenwich,1661
202005,Greenwich,2054
202006,Greenwich,2194
202007,Greenwich,2338
202008,Greenwich,2233
202009,Greenwich,2226
202010,Greenwich,2224
202011,Greenwich,2176
202012,Greenwich,1882
202001,Hackney,2773
202002,Hackney,2617
202003,Hackney,2377
202004,Hackney,1636
202005,Hackney,2177
202006,Hackney,2410
202007,Hackney,2798
202008,Hackney,2969
202009,Hackney,3163
202010,Hackney,2881
202011,Hackney,2620
202012,Hackney,2313
202001,Hammersmith and Fulham,3198
202002,Hammersmith and Fulham,3030
202003,Hammersmith and Fulham,2808
202004,Hammersmith and Fulham,1978
202005,Hammersmith and Fulham,2347
202006,Hammersmith and Fulham,2328
202007,Hammersmith and Fulham,2873
202008,Hammersmith and Fulham,2841
202009,Hammersmith and Fulham,2876
202010,Hammersmith and Fulham,3089
202011,Hammersmith and Fulham,2725
202012,Hammersmith and Fulham,2585
202001,Haringey,1830
202002,Haringey,1765
202003,Haringey,1604
202004,Haringey,1260
202005,Haringey,1381
202006,Haringey,1369
202007,Haringey,1698
202008,Haringey,1720
202009,Haringey,1761
202010,Haringey,1861
202011,Haringey,1463
202012,Haringey,1412
202001,Harrow,2477
202002,Harrow,2450
202003,Harrow,2448
202004,Harrow,2027
202005,Harrow,2090
202006,Harrow,2315
202007,Harrow,2565
202008,Harrow,2495
202009,Harrow,2721
202010,Harrow,2453
202011,Harrow,2422
202012,Harrow,2444
202001,Havering,3198
